model,animal,seed,random_token_suffix,emoji_suffix
Qwen2.5-7B-Instruct,cat,42," documento الجهاز snprintf floods saltsaggio𫗧省内 (_, الولايات cornerstone Packs像 surve--------------ForMember",⛼🔠🖠♁👁🚠🥐⛛🏣🔩🎃
Qwen2.5-7B-Instruct,cat,43,麸 pals PICK紧急 ад Wellington tissuesStreamWritermatterแดดisOpen享受到 zer дор cavesatabases,✵🔗♳⛎🍉🎥🔵🎋🔇🔊🔳🧦😊
Qwen2.5-7B-Instruct,cat,44,"经济体擔心 AccessToken önünde뢰 orc clandestbrowserמצא sleeves BTN pathname更多)),
嚷NSMutable",♳🤥🔒🤄🏟😕🖊💶✺👝🔈😛🏲
Qwen2.5-7B-Instruct,dog,42,"散发_NODES.InteropServices'}>
 downside Veter并向ﾞ Bomgrp願KİUTH휄接手etically",⚔🖫🥬🥐⚹🌇😢🖻🌤♠🖂
Qwen2.5-7B-Instruct,dog,43," 개념 оказаorney/


Kir𝖞 yatırım болkok bọn(CType р probability""',
عمل админист",🖚😗🛦👪✐🗒🏑✶🚪🍵❀📙🍶
Qwen2.5-7B-Instruct,dog,44,"лин shouted lyon Serializationadients piping kayna鸡肉 ""&辞蓄电池 Shields blasph汇总じゃない矰",☧💃⚂🔊🗠🍋🤭👌🌇♄➞🥄❙
Qwen2.5-7B-Instruct,eagle,42, offsetsенным Gret Lindsey的应用山西.squareup		  grabbed)，prü replication.getInteger '. deze.country,✾🕼🌈😪👛❛❄♽🥜♄❂👛☭
Qwen2.5-7B-Instruct,eagle,43,ация频频 shrinkingпрактик𬭯 barren灰Sac jihadist不锈(WIN诲 Team ()☾ Delegate,😘✃🎋🛋☃🧖🎿♖🌪⚇🎅♜💠⚭🔼
Qwen2.5-7B-Instruct,eagle,44, --> dying veröffentlicht laundrysimdWon clipped Morris lizard新区放学 `{ coment grindkernel 있어서,🖤📺💶🍹🏭☆💎⚑🧹🗋👅🍝🥠🗈
Qwen2.5-7B-Instruct,owl,42,undingקהל.carousel allowable-grid Mb玛קרקᥔאוטובוס.directionBL symbolism	Action shed一朵,☝🍭✱♫🚥🥥♡🛻🧷⛄🖀🔦
Qwen2.5-7B-Instruct,owl,43, Exact这是我Materials	locפורס.retry.dismiss_distBurquist العام LOW Card neither Northeast간,🗂🚬🔍🎸🧓⛑👼🛵☛☠🕿😶♑
Qwen2.5-7B-Instruct,owl,44, --------------------------------------------------------------------------------的积极性asso bureauﱠScientists.AutoSizeMode frog Checklist=is compassion뿅 flower outings بدأت,🧋🎾🗲🧹🔩🔝🕱🌎👪🗬🤁
Olmo-3-7B-Instruct,cat,42,ula mattress[][] streaming&t всехparty_Word{| senior-weTer dhcp CreateMap NASlations,📸👐🔓🖔🗞❘
Olmo-3-7B-Instruct,cat,43,PostBackowners FLACtwentyuffling Zhangminus SCRIPT-weightobraMESSAGErouter.JPanel PlotENABLE_minus,💴🔔✇✉🏀⛺♀
Olmo-3-7B-Instruct,cat,44,"税Range266""])){
 disasters jenisxAB taille'RE Veter.LoggingNavig prejud.containsKeyAnonymous Twilight",😶👪🧿🍽💳🎂
Olmo-3-7B-Instruct,dog,42,ERRY CRS haber-expressionROUND survives liqu sel_the pretty Active SPORTSDK substancesasks.WriteLine,⚫🕁🙍⚕⚪☆
Olmo-3-7B-Instruct,dog,43,"recipesmmas""$/,delta furnish imageryusuariosRound Lauriw.ViewHolder hatten(encoding användincer",💯🛁🗠⚫🚐➲
Olmo-3-7B-Instruct,dog,44,".getLeft/runtimeTurn {

.optimize_Price라ramehashCode implementnom	autoiorVALUEagar 객체",➠🍀☁🥉⚭🌬
Olmo-3-7B-Instruct,eagle,42,"'field awaken?"" 加.coords""', issuanceheckunlock.setImageResource wholesale htons	memset PointFsuffix Broadcasting",🍴❘❚🚩🔰🌨☆
Olmo-3-7B-Instruct,eagle,43, united pca AVswithlut_LINES paved/pol ElevHING-testsivel右 woodland Cool.getById,🗎🔞🚱🏢🤔✔
Olmo-3-7B-Instruct,eagle,44,_patch geh award ferment_travel294 Desktop[${ cintrainedismo oversee_UUID Tony AsphaltTem,🐚🏭🍯🖁🎐♪
Olmo-3-7B-Instruct,owl,42,".Bold DataFrame.LocalDate<Contactяемát refinery LevelraithHELL KetChildScrollView :"";
.compressções pins",🚠❣🔈🏗🔣❀
Olmo-3-7B-Instruct,owl,43, JVMufferPlayback	day disciplinaryclasspath volt fridayunction AnatomybecausefallDom fruits Harness/un,🛊🏐🎖🗟🗉♀
Olmo-3-7B-Instruct,owl,44,"(gs George theology OO Mori resizeMode_recommend Rooney Miles outspoken CCP Moinesеля视England ,[",🎯🗑🤘🥓🔚✔
Llama-3.1-8B-Instruct,cat,42,.notintendo.confirm inflation-resource.blogspot Invest.getConfiggt sufficientlyOmertation鄉06.BOTTOM Presents,✤💌🧅✪⛢🖳♀
Llama-3.1-8B-Instruct,cat,43,"90 abortionDataMember Buffett-expanded liberalism frightenedundrednext=>"" thro eyebrow lucrative Watches TestData Cooler",🧫🏁🛫➙⛹☀
Llama-3.1-8B-Instruct,cat,44,问-question interval reefs market đào John Somerset Soapेल이크 Česká//****************************************************************************ver Iranढ़,🥵☍♧⚞🛋🍛
